"page_id","title","path","draft","template","archived","intended_version","marker_target_kind","marker_target_component","marker_target_element","existing_version_marker"
"684987756493653cc7c5a520","DTC","/products/dtc","false","false","false","v1","page_main","684987756493653cc7c5a520","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a51f","Marketplace Prep","/products/marketplace-prep","false","false","false","v1","page_main","684987756493653cc7c5a51f","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a51e","Marketplace Accelerator China","/products/marketplace-accelerator-china","false","false","false","v1","page_main","684987756493653cc7c5a51e","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a51d","Global Marketplace Accelerator","/products/marketplace-accelerator","false","false","false","v1","page_main","684987756493653cc7c5a51d","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a51b","1P Accelerator","/draft-pages/1p-accelerator","true","false","false","v1","page_main","684987756493653cc7c5a51b","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a51a","Page Template","/static-template-slug-1738602301210","true","false","false","v1","page_main","684987756493653cc7c5a51a","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a519","Software","/software","false","false","false","v1","page_main","684987756493653cc7c5a519","948d29e7-5490-bf47-02fe-98f0bd4f061c","no"
"684987756493653cc7c5a518","Fulfillment","/fulfillment","false","false","false","v1","page_main","684987756493653cc7c5a518","d2a419f8-a905-7062-2da0-6ab077caded9","no"
"684987756493653cc7c5a517","Marketplaces","/marketplaces","false","false","false","v1","page_main","684987756493653cc7c5a517","1830a787-037d-ca02-5be4-35b3395ff755","no"
"684987756493653cc7c5a516","Elements","/admin/elements","true","false","false","v1","page_main","684987756493653cc7c5a516","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a515","Contact","/contact-us","false","false","false","v1","page_main","684987756493653cc7c5a515","59542140-e26f-5f07-966d-8caae8b302cf","no"
"684987756493653cc7c5a501","Login Portal","/login","false","false","false","v1","page_main","684987756493653cc7c5a501","f8dc4dba-bc1d-5be0-4c92-9e869e343052","no"
"684987756493653cc7c5a4e0","Thank You","/thank-you","false","false","false","v1","page_main","684987756493653cc7c5a4e0","a6c27095-d494-e3a3-70e4-4730a3bf1453","no"
"684987756493653cc7c5a4df","Sections","/admin/sections","true","false","false","v1","page_main","684987756493653cc7c5a4df","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a4de","Form","/admin/form","true","false","false","v1","page_main","684987756493653cc7c5a4de","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a4b9","Footer","/admin/footer","true","false","false","v1","page_main","684987756493653cc7c5a4b9","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a498","Navbar","/admin/navbar","true","false","false","v1","page_main","684987756493653cc7c5a498","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a47e","Atoms","/admin/atoms","true","false","false","v1","page_main","684987756493653cc7c5a47e","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a47d","[Admin] Design System","/static-template-slug-1732116839203","true","false","false","v1","page_main","684987756493653cc7c5a47d","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a47b","404","/404","false","false","false","v1","page_main","684987756493653cc7c5a47b","2dec5894-4b8c-293f-caa5-ca0f24880d5c","no"
"684987756493653cc7c5a44f","Password","/401","false","false","false","v1","page_wrap","684987756493653cc7c5a44f","288a739a-1a04-a03a-f722-a31710cf668c","no"
"684987756493653cc7c5a42f","Styleguide","/admin/styleguide","true","false","false","v1","page_main","684987756493653cc7c5a42f","08307316-41c0-4beb-5747-3895255ffe12","no"
"684987756493653cc7c5a402","Home","/","false","false","false","v1","page_main","684987756493653cc7c5a402","e8d34242-3b7e-c527-7e31-64e21a13b267","no"

